ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Prefered social media platform,Time spent on TV,Number of meals per day,Change in your weight,Healthissueduringlockdown,Stress busters,Time utilized,Relationship with around,What you miss the most
R202,1,26,5,2,0,10,1,8,1,2,0.5,2,1,0,Meditation,1,1,Roaming around freely
R203,0,20,3,3,0,4,0,8,2,2,0,3,1,0,Cooking,1,1,Travelling
R204,1,24,7,0,0,7,2,7,2,2,0,3,1,0,Reading books,1,1,Travelling
R205,1,21,0,0,0,0,2,12,6,4,0,4,2,0,Watching web series,0,0,Travelling
R206,1,20,5,3,1,2.5,1,9,3,0,0.5,2,1,0,Dancing,1,1,School/college
R207,1,16,7,2,2,4,1,7,1,1,0,3,1,0,Reading books,1,1,All of the above 
R208,1,17,6,2,0,1,0,7,2,8,0,2,1,0,Online gaming,1,0,"Friends , relatives"
R209,1,59,3,2,1,6,1,9,0.5,1,1,2,2,0,Sleep,1,1,School/college
R210,1,17,7,3,1,4,0,7,1,1,1,2,2,0,Listening to music,1,0,School/college
R211,1,16,6,0,1,5,0,7,2,2,0,3,2,0,Online surfing,0,1,"Friends , relatives"
R212,0,20,3,2,0,4,1,7,2,3,2,3,1,0,Talking to your relatives,1,0,School/college
R214,1,17,6,0,1,1.5,2,7,2,0,0.5,4,2,0,Workout ,1,0,Travelling
R215,1,17,6,2,0,5,0.5,7,1,1,1,2,1,0,Listening to music,0,0,Eating outside
R216,1,20,3,3,0,4,0,7,4,1,0,2,1,1,Social Media,1,1,Colleagues
R217,0,17,6,2,2,2,1,7,1,1,1,4,1,0,Reading books,0,1,"Friends , relatives"
R218,1,20,4,0,1,2,0,7,0.5,1,0.5,3,2,0,Sleep,0,0,School/college
R219,0,16,8,3,0,7,0,6,1,1,0.5,3,1,0,Social Media,0,0,Travelling
R220,1,19,0.5,0,1,5,0.5,10,1,1,1,2,1,1,Meditation,1,0,School/college
R221,1,20,0,0,0,2,0,10,3,0,2,4,2,0,Sleep,0,1,"Friends , relatives"
R222,0,22,4,2,0,3,1,8,3,1,0,4,2,0,Online gaming,1,0,Travelling
R223,0,17,9,1,0,3,0,5,0.5,0,1,3,1,0,Listening to music,0,0,All the above
R224,1,23,1,0,1,8,2,8,2,0,2,3,0,0,Online gaming,1,1,"Friends , relatives"
R225,0,22,0,0,0,3,0,10,8,0,0,2,2,1,Watching web series,1,1,"Friends , relatives"
R226,1,22,1.5,2,0,0,0,9,6,0,2,3,2,0,Scrolling through social media,1,1,School/college
R227,0,19,2,0,1,2,1,8,2,1,1,3,0,1,Scrolling through social media,0,1,Roaming around freely
R228,1,19,2,0,1,5,1,9,2,5,0,4,1,0,Listening to music,1,0,School/college
R229,0,23,1,0,0,1,0,8,5,1,0,4,2,0,Talking to your relatives,0,1,Eating outside
R230,0,32,4,3,0,5,2,5,3,4,0,3,1,0,Reading,1,1,Colleagues
R231,1,17,6,2,1,12,1,8,2,1,3,4,1,0,Sleep,0,0,Travelling
R233,1,22,4,2,0,3,2,8,2,1,0.5,4,2,0,Sleep,1,1,Roaming around freely
R234,0,17,6,0,4,4,2.5,8,0.5,0,0,3,1,0,Reading books,1,1,School/college
R235,0,17,5,2,0,1.5,2,8,1,2,3,3,0,0,Cooking,1,1,"Friends , relatives"
R236,1,22,5,3,0,10,1,6,1,13,0,3,1,1,Online gaming,1,1,School/college
R237,0,18,2,0,1,2,2,9,4,2,0,3,2,0,Online gaming,0,1,School/college
R238,1,20,5,0,0,12,0,7,1,8,0,3,2,0,Reading books,0,1,Roaming around freely
R239,0,30,3,2,1,1,0.5,4,1,1,0.5,2,1,0,Meditation,1,1,School/college
R240,1,19,1,2,0,1,0,8,1,2,2,4,1,0,Whatever want,0,0,Eating outside
R241,0,14,3,3,0,2,0,8,1,1,1,1,2,0,Cooking,1,1,School/college
R243,0,16,7,2,1,3,2,11,1.5,0,1,3,0,1,Online gaming,0,1,School/college
R244,1,17,6,2,1,2,1,9,3,0,0.5,3,1,0,Sleep,0,1,"Friends , relatives"
R245,1,20,1,0,2,2,2,8,1,2,0,2,0,0,Reading books,0,1,School/college
R246,1,17,4,3,1,2,0,7,3,0,2,4,2,0,Social Media,1,1,School/college
R247,1,20,6,2,4,2,0,6,4,0,0,3,2,0,Listening to music,0,0,Roaming around freely
R249,0,17,5,2,1,4,2,7,2,2,2,2,2,0,Online gaming,0,1,School/college
R250,1,21,3,0,0,2,0,7,2,4,2,3,1,0,Online gaming,1,0,Going to the movies
R251,1,16,4,1,0,0,0,9,1,1,1,2,1,0,Listening to music,0,1,School/college
R252,1,21,5,2,1,2,2,6,5,0,0,3,2,0,Scrolling through social media,0,1,Roaming around freely
R254,0,20,4,3,0,5,1,7,0.1,1,0,4,1,0,Reading,0,0,School/college
R255,0,14,4,2,1,4,0,8,2,0,2,3,2,0,Listening to music,0,1,School/college
R256,1,19,3,3,0,2,0,8,5,2,1.5,3,2,0,Web Series,0,1,School/college
R257,1,18,0,0,0,3,0,8,4,4,1,3,2,0,Watching web series,0,1,"Friends , relatives"
R258,0,13,5,0,0,4,1,8,10,1,0,3,0,0,Cooking,0,0,School/college
R259,0,20,4,0,0,8,0,6,1,0,0,3,0,0,Listening to music,1,1,Eating outside
R260,0,19,0,0,0,4,0.3,8,2,1,0,2,1,0,Talking to your relatives,0,0,School/college
R261,0,15,5,2,1,1,0,7,1,2,1.5,3,1,0,Online gaming,0,1,School/college
R262,0,20,1,0,1,0,0,10,5,2,1,2,2,1,Sleep,0,1,School/college
R263,1,19,0,0,0,1,0,8,4,5,2,3,2,0,Watching web series,0,0,"Friends , relatives"
R264,0,21,3,3,0,3,1,6,0.5,1,0.5,2,2,1,Listening to music,1,0,Travelling
R265,0,20,4,0,0,2,1,8,4,2,0,4,2,0,Listening to music,0,1,"Friends , relatives"
R266,1,20,4,3,0,5,1,6,2,2,0.5,2,1,0,Listening to music,0,1,Colleagues
R267,0,16,6,3,0,3,0,7,1,1,1,3,1,0,Listening to music,0,0,School/college
R268,1,21,2,1,0,2,1,5,3,1,1,3,1,0,Reading books,1,1,Roaming around freely
R269,1,17,5.5,3,1,5,1,9,1,2,1,3,1,0,Listening to music,0,1,Colleagues
R270,1,21,0,2,0,12,0,7,3,2,0,3,1,0,Reading books,1,1,Nothing
R271,1,20,0,3,1,0,0,7.5,3.5,2,2,3,1,0,Indoor Games,1,1,Nothing
R272,1,21,4,2,0,2,1,8,3,0,0,2,1,0,Online gaming,0,0,Eating outside
R273,1,20,3,0,1,5,1,7,1,1,0,3,2,0,Sleep,0,1,Roaming around freely
R274,0,16,4,1,5,2.5,0.5,6,0.5,1,1,3,1,0,"watching movies,reading books,games,listening to music,sleep,dancing",1,1,"school, relatives and friends"
R275,0,19,0,0,0,8,1,8,2,1,0,2,2,1,Cooking,1,1,Roaming around freely
R276,1,19,1,0,0,3,0,8,3,0,3,3,2,1,Listening to music,1,1,Roaming around freely
R278,0,19,1,4,0,1,3,9,2,2,0,5,1,0,Listening to music,0,1,Travelling
R279,1,20,2,3,0,1,0,10,1,1,0,2,1,0,Online gaming,0,1,Colleagues
R280,1,19,2,2,1,3,1,9,3,1,3,3,2,0,Sleep,0,1,School/college
R281,0,17,7,2,0,2,0,6,2,2,2,2,2,0,Sleep,1,1,School/college
R282,1,21,0,0,0,2,0,8,3,1,5,3,0,0,Watching web series,0,0,Roaming around freely
R283,0,17,6,3,1,4,0,7,1,1,2,3,0,0,Listening to music,1,0,School/college
R285,1,25,5,2,0,6,0,8,1,0,0,3,1,0,Listening to music,1,0,Roaming around freely
R286,1,19,3,2,0,6,0.5,8,0.6,3,1.5,4,2,0,Reading books,1,1,School/college
R287,1,16,5,0,1,2,1,8,2,1,0,3,2,0,Online gaming,0,1,"Friends , relatives"
R288,1,17,7,3,1,5,0.5,7,2,1,2,3,2,0,Online gaming,0,0,All 
R289,1,18,1,2,1,2,0,10,1,0,0.5,2,1,0,Reading books,0,0,Roaming around freely
